iter	MAPE
0	0.9743263409
1	0.9496513971
2	0.9266899908
3	0.9052137884
4	0.8845098629
5	0.8667749258
6	0.8491665816
7	0.834417311
8	0.8203306206
9	0.8057794754
10	0.7929228821
11	0.7817894332
12	0.7743704686
13	0.7647115532
14	0.7541493131
15	0.7494120857
16	0.7398391603
17	0.7305279671
18	0.7288129785
19	0.7251334018
20	0.7172081942
21	0.71149698
22	0.7056337796
23	0.7008768652
24	0.6964869695
25	0.6951463519
26	0.6903670896
27	0.6887453793
28	0.687754033
29	0.6864480557
30	0.680230811
31	0.675099619
32	0.6744830092
33	0.6718220846
34	0.669146951
35	0.6643593494
36	0.6609352644
37	0.6574070948
38	0.6564557473
39	0.6560159336
40	0.6546657736
41	0.6519984647
42	0.6517050927
43	0.6490311212
44	0.6483964144
45	0.6483161126
46	0.6480764762
47	0.6473653523
48	0.6470211225
49	0.6466271805
