iter	MAPE
0	0.9731773366
1	0.9476272179
2	0.9227743374
3	0.899407888
4	0.8771176541
5	0.8556676792
6	0.8346053426
7	0.8151743683
8	0.7972422267
9	0.7808820834
10	0.764390288
11	0.7496260428
12	0.7358708893
13	0.7226850634
14	0.7098271605
15	0.7009118739
16	0.6880434435
17	0.6772681015
18	0.6706866937
19	0.6603653781
20	0.6491602384
21	0.6399840538
22	0.6296578005
23	0.6219659472
24	0.6140740873
25	0.6050492639
26	0.5966300139
27	0.5916362468
28	0.5856519277
29	0.5785791689
30	0.5721435562
31	0.5656666917
32	0.5617113783
33	0.5581909122
34	0.5536998379
35	0.5481923189
36	0.5434257164
37	0.5402617261
38	0.535538944
39	0.5296072503
40	0.527451855
41	0.5233984103
42	0.5208441144
43	0.5185679377
44	0.5160398359
45	0.5122776334
46	0.508765781
47	0.5079450101
48	0.5046458784
49	0.5024826617
50	0.5006389017
51	0.4974527095
52	0.4965680024
53	0.495625428
54	0.4940389178
55	0.4914470392
56	0.4891927272
57	0.4880673071
58	0.4867170482
59	0.4850855526
60	0.4832799951
61	0.4823562661
62	0.4818944058
63	0.4813789225
64	0.4800323327
65	0.4782107495
66	0.4764350138
67	0.4749012776
68	0.4724841029
69	0.4720386567
70	0.4695661286
71	0.4685010636
72	0.468447795
73	0.4675704953
74	0.4669291382
75	0.4669075463
76	0.4651220266
77	0.4650340952
78	0.4623018546
79	0.4612865925
80	0.460086245
81	0.459012644
82	0.4581270503
83	0.4570039246
84	0.4562876199
85	0.4550674158
86	0.4547654932
87	0.4544092126
88	0.4538841899
89	0.4535156041
90	0.4525908729
91	0.4519246015
92	0.451281923
93	0.4504957577
94	0.4487307451
95	0.4473826159
96	0.4467494623
97	0.4462214893
98	0.4457866659
99	0.4452913536
