iter	Passed	Remaining
0	548	54259
1	1096	53740
2	1645	53195
3	1933	46397
4	2490	47316
5	3046	47726
6	3599	47816
7	4136	47570
8	4700	47523
9	5271	47444
10	5829	47163
11	6362	46658
12	6903	46197
13	7440	45703
14	7969	45158
15	8501	44632
16	9036	44120
17	9584	43663
18	9673	41240
19	10233	40935
20	10787	40580
21	11333	40182
22	11881	39776
23	12422	39338
24	12967	38901
25	13511	38456
26	14095	38109
27	14636	37637
28	15169	37138
29	15699	36631
30	16253	36177
31	16791	35681
32	17333	35192
33	17868	34685
34	18412	34195
35	18954	33697
36	19498	33200
37	20045	32705
38	20591	32207
39	21141	31711
40	21700	31227
41	22254	30732
42	22788	30208
43	23335	29699
44	23886	29194
45	24441	28691
46	24986	28176
47	25524	27651
48	26054	27118
49	26579	26579
50	27121	26057
51	27650	25523
52	28182	24991
53	28712	24458
54	29238	23922
55	29769	23390
56	30305	22862
57	30833	22327
58	31359	21792
59	31917	21278
60	32483	20767
61	33042	20251
62	33603	19735
63	34149	19209
64	34713	18691
65	35260	18164
66	35810	17637
67	36363	17112
68	36946	16599
69	37504	16073
70	38068	15549
71	38610	15015
72	38767	14338
73	39301	13808
74	39842	13280
75	39880	12593
76	40422	12074
77	40484	11418
78	41035	10908
79	41570	10392
80	42126	9881
81	42669	9366
82	43220	8852
83	43774	8338
84	44322	7821
85	44858	7302
86	45400	6783
87	45939	6264
88	46482	5745
89	47016	5224
90	47550	4702
91	48095	4182
92	48638	3660
93	49203	3140
94	49747	2618
95	50291	2095
96	50828	1572
97	51374	1048
98	51909	524
99	52440	0
