iter	Passed	Remaining
0	301	29865
1	837	41014
2	1387	44875
3	1932	46386
4	2481	47148
5	3027	47435
6	3588	47675
7	4120	47387
8	4658	47102
9	5214	46926
10	5784	46804
11	6344	46523
12	6898	46166
13	7434	45671
14	7973	45184
15	8517	44716
16	9043	44153
17	9591	43694
18	9677	41255
19	10216	40864
20	10760	40480
21	11312	40109
22	11866	39728
23	12415	39316
24	12957	38873
25	13492	38402
26	14031	37936
27	14588	37513
28	15116	37008
29	15645	36506
30	16189	36034
31	16724	35540
32	17296	35116
33	17832	34615
34	18387	34148
35	18942	33676
36	19499	33201
37	20053	32719
38	20624	32259
39	21160	31740
40	21739	31284
41	22283	30771
42	22828	30261
43	23358	29729
44	23888	29196
45	24428	28676
46	24963	28150
47	25499	27623
48	26038	27101
49	26579	26579
50	27114	26051
51	27654	25527
52	28178	24988
53	28714	24460
54	29260	23940
55	29787	23404
56	30333	22883
57	30879	22360
58	31437	21846
59	31986	21324
60	32517	20790
61	33053	20258
62	33589	19727
63	34135	19201
64	34676	18671
65	35206	18136
66	35745	17605
67	36270	17068
68	36814	16539
69	37340	16002
70	37876	15470
71	38414	14939
72	38941	14402
73	39469	13867
74	40003	13334
75	40544	12803
76	41085	12272
77	41635	11743
78	42163	11207
79	42705	10676
80	43250	10145
81	43788	9612
82	44323	9078
83	44873	8547
84	45415	8014
85	45963	7482
86	46497	6947
87	47038	6414
88	47565	5878
89	48100	5344
90	48632	4809
91	49173	4275
92	49715	3742
93	50244	3207
94	50775	2672
95	51306	2137
96	51841	1603
97	52366	1068
98	52898	534
99	53422	0
