iter	MAPE
0	0.9732601679
1	0.9475115647
2	0.92321958
3	0.900003475
4	0.8780086478
5	0.856701141
6	0.8353389438
7	0.8153878734
8	0.7973144985
9	0.7805666674
10	0.7638392385
11	0.7484406
12	0.733628049
13	0.7202489166
14	0.7067084381
15	0.6956018846
16	0.6859654926
17	0.6742136475
18	0.6657031069
19	0.6579918256
20	0.6485717794
21	0.6396849819
22	0.6295132939
23	0.6205386813
24	0.6150918065
25	0.6060120115
26	0.5992864464
27	0.5937573432
28	0.5868192355
29	0.58199319
30	0.5745104299
31	0.5692799628
32	0.564978695
33	0.5617072208
34	0.5585254363
35	0.5525588905
36	0.5464252709
37	0.5424956322
38	0.5368687591
39	0.5312570031
40	0.5289084341
41	0.5240684776
42	0.521260053
43	0.5189861661
44	0.5179658211
45	0.5147048557
46	0.5109358433
47	0.5080139897
48	0.5039925646
49	0.5014725749
50	0.5005707929
51	0.497662358
52	0.4965978944
53	0.4961441374
54	0.4954982253
55	0.492326743
56	0.490084011
57	0.4895874278
58	0.487164452
59	0.4838184198
60	0.4822290594
61	0.481478157
62	0.4810727256
63	0.4802774613
64	0.4796344877
65	0.4785205834
66	0.4779436652
67	0.476616061
68	0.4753445116
69	0.4749957016
70	0.4728860381
71	0.4723621344
72	0.4719426749
73	0.4713353742
74	0.4707830766
75	0.4699710745
76	0.4684795316
77	0.4679954603
78	0.4677187982
79	0.466110078
80	0.4657094702
81	0.4648999665
82	0.4647131733
83	0.463096214
84	0.4621836469
85	0.4618982164
86	0.4617335051
87	0.4614157862
88	0.4607479997
89	0.4594553903
90	0.458919473
91	0.4582516775
92	0.4571452626
93	0.4560245728
94	0.4555772857
95	0.4546324847
96	0.4524040146
97	0.4521134445
98	0.4515493053
99	0.4512642329
