iter	MAPE
0	0.9743358372
1	0.9496637973
2	0.9267518119
3	0.9052676291
4	0.88460695
5	0.8669622928
6	0.8505257503
7	0.8342122116
8	0.8190958153
9	0.8044126939
10	0.792516837
11	0.7829635044
12	0.7714006699
13	0.7641876918
14	0.7550334263
15	0.7521602371
16	0.7420866779
17	0.7340276954
18	0.7321468721
19	0.7299794959
20	0.7221292594
21	0.7208429688
22	0.7192415882
23	0.7146785718
24	0.7113401846
25	0.708122282
26	0.7033179708
27	0.7018183154
28	0.7010520011
29	0.6968136396
30	0.689730661
31	0.6843405627
32	0.6840764394
33	0.683922557
34	0.6837153021
35	0.6836146506
36	0.6797621329
37	0.6794855428
38	0.6791408786
39	0.6789669895
40	0.6785967411
41	0.6752260191
42	0.6717379671
43	0.670780278
44	0.6699159485
45	0.669458268
46	0.6682636002
47	0.6667184403
48	0.6635078766
49	0.6628238419
