iter	MAPE
0	0.9742896084
1	0.9496401087
2	0.9266476329
3	0.9053465586
4	0.8849275089
5	0.8673845479
6	0.8552332527
7	0.8396194521
8	0.8246802293
9	0.8103854929
10	0.7974961011
11	0.7856575738
12	0.775718175
13	0.7658909803
14	0.756196282
15	0.7478775494
16	0.7396898472
17	0.732890482
18	0.729257274
19	0.726119254
20	0.7178932454
21	0.7120131736
22	0.708054483
23	0.7043077179
24	0.699720439
25	0.6973453309
26	0.6925972008
27	0.6922405227
28	0.6914132258
29	0.6891929193
30	0.685194176
31	0.6793688566
32	0.6786207223
33	0.6770307838
34	0.6762546581
35	0.6760446993
36	0.6739059533
37	0.6726218144
38	0.6724919977
39	0.672294944
40	0.6716117315
41	0.6687302257
42	0.6685586899
43	0.6648940031
44	0.6639110331
45	0.6638176826
46	0.6591143865
47	0.6589968596
48	0.6588139606
49	0.6586895489
