iter	MAPE
0	0.9743669565
1	0.9496181076
2	0.9262987607
3	0.9051274563
4	0.8851336486
5	0.8711948639
6	0.8540629174
7	0.8388676817
8	0.8239225783
9	0.8094131239
10	0.7966664487
11	0.7838282316
12	0.7759422967
13	0.7670749362
14	0.7561669805
15	0.7506381495
16	0.7403948005
17	0.7306784928
18	0.7266685412
19	0.7229805814
20	0.7161738934
21	0.7126370839
22	0.7117001874
23	0.7057414745
24	0.7043615819
25	0.6998988977
26	0.6942319539
27	0.6897455961
28	0.6882276892
29	0.6866123211
30	0.6845755004
31	0.6785723114
32	0.6780626203
33	0.6737507132
34	0.6716191425
35	0.6702222939
36	0.6657467201
37	0.6644314905
38	0.6624536003
39	0.6603146448
40	0.6592468756
41	0.6588767984
42	0.658501771
43	0.6551911663
44	0.6538231828
45	0.6529304742
46	0.649752441
47	0.6476682276
48	0.6473312739
49	0.6470507992
