iter	MAPE
0	0.9743612316
1	0.9497417714
2	0.926451351
3	0.9050530366
4	0.8843694424
5	0.8660255112
6	0.8498478241
7	0.8332874599
8	0.8171086883
9	0.8026642418
10	0.7924370334
11	0.7809322241
12	0.7749641167
13	0.7652135634
14	0.7582959733
15	0.751028473
16	0.7411935656
17	0.7339237581
18	0.7301913809
19	0.7296762682
20	0.7221838158
21	0.7154012787
22	0.71150544
23	0.7059784752
24	0.7016627158
25	0.7009848776
26	0.6962081352
27	0.6952890569
28	0.6926236437
29	0.691343
30	0.6889709937
31	0.6830300154
32	0.68245466
33	0.6777244477
34	0.6746778516
35	0.6740788957
36	0.6692074526
37	0.6677673604
38	0.665279655
39	0.6634880709
40	0.660401057
41	0.6582848677
42	0.6561411862
43	0.6535860631
44	0.6528263589
45	0.6520010862
46	0.6483116374
47	0.6475788673
48	0.6449822018
49	0.6442066413
