iter	MAPE
0	0.9743644489
1	0.9495546823
2	0.9263715563
3	0.9050451271
4	0.8847177736
5	0.8670428716
6	0.8498716347
7	0.8335290451
8	0.8188145283
9	0.8048002442
10	0.792663446
11	0.7821318005
12	0.7711120055
13	0.7633589384
14	0.7534749513
15	0.7499486167
16	0.741178977
17	0.7356395643
18	0.7310767615
19	0.7308010683
20	0.7238063452
21	0.7235486515
22	0.7231528454
23	0.7150577242
24	0.7147636311
25	0.7145443266
26	0.7074407281
27	0.7062810132
28	0.7056197751
29	0.7037498027
30	0.696049182
31	0.689842261
32	0.6880045966
33	0.6844329479
34	0.683209867
35	0.6801846431
36	0.6755488537
37	0.6731971522
38	0.6713777993
39	0.6698416487
40	0.6687791366
41	0.6666093159
42	0.6660416812
43	0.6651997401
44	0.6642828824
45	0.6637702132
46	0.659084787
47	0.6556071606
48	0.6548437781
49	0.6505941596
