iter	Passed	Remaining
0	562	55730
1	1105	54176
2	1643	53139
3	2166	51997
4	2722	51725
5	3256	51023
6	3799	50473
7	4343	49950
8	4888	49431
9	5440	48962
10	6000	48550
11	6540	47965
12	7071	47323
13	7614	46777
14	8159	46235
15	8701	45682
16	9239	45109
17	9778	44545
18	9818	41859
19	10357	41428
20	10891	40971
21	11426	40513
22	11975	40091
23	12553	39753
24	13088	39264
25	13637	38813
26	14156	38276
27	14701	37804
28	15239	37311
29	15781	36822
30	16321	36328
31	16876	35862
32	17428	35385
33	17967	34878
34	18491	34341
35	19020	33814
36	19564	33312
37	20084	32769
38	20616	32246
39	21142	31714
40	21677	31195
41	22221	30686
42	22749	30155
43	23284	29634
44	23820	29113
45	24357	28593
46	24900	28079
47	25426	27545
48	25965	27025
49	26500	26500
50	27061	26000
51	27600	25477
52	28124	24940
53	28649	24405
54	29189	23882
55	29279	23005
56	29814	22491
57	30343	21973
58	30886	21463
59	31408	20939
60	31677	20252
61	32203	19737
62	32729	19222
63	33269	18713
64	33799	18199
65	34322	17681
66	34853	17166
67	35394	16656
68	35926	16140
69	36465	15628
70	36994	15110
71	37529	14594
72	38070	14080
73	38602	13562
74	39135	13045
75	39676	12529
76	40220	12013
77	40763	11497
78	41309	10980
79	41858	10464
80	42397	9945
81	42935	9424
82	43487	8907
83	44022	8385
84	44559	7863
85	45089	7340
86	45619	6816
87	46150	6293
88	46680	5769
89	47202	5244
90	47731	4720
91	48257	4196
92	48409	3643
93	48948	3124
94	49490	2604
95	50026	2084
96	50556	1563
97	50608	1032
98	50693	512
99	50965	0
