iter	MAPE
0	0.9729675498
1	0.9472535453
2	0.9229764302
3	0.9002315919
4	0.8785018475
5	0.857528364
6	0.8382107913
7	0.8179351437
8	0.8007272482
9	0.7844129553
10	0.7679308586
11	0.7521803272
12	0.7361907106
13	0.7220785107
14	0.7084986546
15	0.6973133937
16	0.6838714355
17	0.6737769481
18	0.6683275933
19	0.660244209
20	0.6492253904
21	0.6404061514
22	0.632272573
23	0.622998739
24	0.6166733416
25	0.6089127239
26	0.6015563791
27	0.5948820257
28	0.5886315337
29	0.5798900198
30	0.5735751781
31	0.5682024275
32	0.5630706179
33	0.5593876602
34	0.5566265487
35	0.550107625
36	0.5440847502
37	0.5415608368
38	0.5363327646
39	0.5307802919
40	0.5282082805
41	0.523185349
42	0.5206858066
43	0.5182578582
44	0.516728699
45	0.5152344178
46	0.5111072383
47	0.5077879292
48	0.5034516401
49	0.5005679779
50	0.4990285724
51	0.4965521396
52	0.4947704953
53	0.4928235232
54	0.4902933854
55	0.490113358
56	0.4886779433
57	0.4861526481
58	0.4840343753
59	0.4823036426
60	0.4821726602
61	0.48132454
62	0.4800171127
63	0.4770484514
64	0.4753838098
65	0.473435751
66	0.4722644231
67	0.4719910722
68	0.4708642256
69	0.4694555783
70	0.4680461105
71	0.4664366631
72	0.4662515596
73	0.4637993146
74	0.4625859493
75	0.4604837968
76	0.460091462
77	0.4594592678
78	0.4583861114
79	0.4571625188
80	0.4565475122
81	0.4547351162
82	0.4544332476
83	0.4533323519
84	0.452504226
85	0.4519983057
86	0.4518115685
87	0.4494965827
88	0.4490162451
89	0.4484659268
90	0.4470501798
91	0.4461467867
92	0.4459680119
93	0.4457476643
94	0.4447254679
95	0.4437809248
96	0.4426208509
97	0.4426018946
98	0.4422857662
99	0.4421263598
