iter	MAPE
0	0.9743798802
1	0.9496743515
2	0.9263629224
3	0.9052713954
4	0.8852334807
5	0.8687584344
6	0.8558939221
7	0.8395792431
8	0.8307082772
9	0.8156422086
10	0.8017693643
11	0.7898089637
12	0.7786026712
13	0.7695510943
14	0.758311599
15	0.7538084467
16	0.7449710668
17	0.7365230661
18	0.7351344465
19	0.7305862173
20	0.7227587011
21	0.7198838918
22	0.7165263787
23	0.7091460362
24	0.7066728377
25	0.7031200138
26	0.6973907688
27	0.6952349384
28	0.6925909638
29	0.6894266126
30	0.6864150659
31	0.685408189
32	0.6846338597
33	0.6811485471
34	0.6800407802
35	0.6799690841
36	0.6798433647
37	0.6779549552
38	0.6770193464
39	0.6722687429
40	0.6658223641
41	0.6623479808
42	0.6621139249
43	0.6585121626
44	0.6572002945
45	0.6569431561
46	0.6522990999
47	0.6518593364
48	0.6515193213
49	0.6503659796
