iter	Passed	Remaining
0	287	28420
1	827	40552
2	1374	44448
3	1905	45726
4	2446	46486
5	3000	47010
6	3536	46989
7	4076	46878
8	4615	46663
9	5150	46358
10	5694	46070
11	6234	45721
12	6761	45251
13	7313	44923
14	7849	44480
15	8389	44044
16	8936	43632
17	9476	43172
18	9563	40771
19	10100	40401
20	10636	40013
21	11172	39613
22	11720	39237
23	12249	38789
24	12807	38421
25	13369	38051
26	13910	37608
27	14453	37166
28	15017	36767
29	15575	36341
30	16109	35856
31	16658	35398
32	17216	34954
33	17761	34477
34	18307	33999
35	18850	33512
36	19388	33012
37	19474	31774
38	20010	31298
39	20543	30815
40	20584	29620
41	21125	29173
42	21674	28731
43	22218	28277
44	22767	27827
45	23321	27377
46	23861	26908
47	24416	26451
48	24948	25967
49	25489	25489
50	26014	24994
51	26555	24512
52	27092	24025
53	27371	23316
54	27905	22831
55	28431	22339
56	28956	21844
57	29472	21342
58	30002	20849
59	30522	20348
60	31051	19852
61	31086	19052
62	31615	18567
63	32152	18085
64	32697	17606
65	33234	17120
66	33760	16628
67	34308	16145
68	34836	15651
69	35376	15161
70	35924	14673
71	36474	14184
72	37009	13688
73	37044	13015
74	37581	12527
75	38127	12040
76	38676	11552
77	39211	11059
78	39754	10567
79	40300	10075
80	40837	9579
81	41368	9080
82	41904	8582
83	42439	8083
84	42979	7584
85	43517	7084
86	44045	6581
87	44574	6078
88	45112	5575
89	45647	5071
90	46179	4567
91	46737	4064
92	47267	3557
93	47811	3051
94	48356	2545
95	48904	2037
96	49441	1529
97	49984	1020
98	50526	510
99	51074	0
