iter	MAPE
0	0.973237139
1	0.9471646923
2	0.9224687497
3	0.8991521436
4	0.8769192305
5	0.8558000943
6	0.8344076729
7	0.815293226
8	0.7974148468
9	0.7806217714
10	0.7641898654
11	0.7487044314
12	0.7322525648
13	0.7190381995
14	0.7053875624
15	0.6933063696
16	0.6807447877
17	0.6677341573
18	0.6586625847
19	0.6493922013
20	0.6391939172
21	0.6292497974
22	0.6197662209
23	0.6153568237
24	0.6085453727
25	0.6015666098
26	0.5948096556
27	0.5887364092
28	0.5838027503
29	0.5773431309
30	0.570341425
31	0.5657579142
32	0.5614575052
33	0.5572707413
34	0.553559448
35	0.5491487682
36	0.5425877164
37	0.5419688252
38	0.5405129658
39	0.5364325225
40	0.5337216097
41	0.5304681813
42	0.5275478977
43	0.5254687189
44	0.5220278345
45	0.5178301218
46	0.5160162464
47	0.513480816
48	0.5106925148
49	0.5061085426
50	0.5040079692
51	0.5013637232
52	0.4997400665
53	0.4987822442
54	0.4971824771
55	0.4947975481
56	0.4934198402
57	0.4909756344
58	0.4884934615
59	0.486148319
60	0.485058698
61	0.4831475719
62	0.4795011802
63	0.4787003801
64	0.477459189
65	0.4757303644
66	0.4733086542
67	0.4716142155
68	0.4702174342
69	0.468964212
70	0.4671038129
71	0.4647476717
72	0.463313053
73	0.4627481253
74	0.4620063068
75	0.4613583519
76	0.4590857515
77	0.4590579404
78	0.4559151876
79	0.4547713914
80	0.4532133952
81	0.4529479816
82	0.4515670118
83	0.4505024193
84	0.44926902
85	0.4478480815
86	0.4471676363
87	0.4463197463
88	0.445748234
89	0.4455971125
90	0.4449100333
91	0.444573579
92	0.4441917663
93	0.4438605483
94	0.4431821202
95	0.4419143933
96	0.4414381928
97	0.4409627702
98	0.4406260269
99	0.4400456145
