iter	MAPE
0	0.9738188425
1	0.9489643026
2	0.9256738484
3	0.9042463084
4	0.8901318013
5	0.8722880179
6	0.8553782168
7	0.8380171165
8	0.822586664
9	0.8087944674
10	0.7965397504
11	0.7838927026
12	0.7780887325
13	0.7683076076
14	0.7604371679
15	0.7546132924
16	0.7465472918
17	0.7415570303
18	0.7385182869
19	0.733510151
20	0.7294861362
21	0.7254421932
22	0.7184994842
23	0.7140062596
24	0.7098295543
25	0.7035486648
26	0.7015018039
27	0.6992632503
28	0.6973208001
29	0.6959729874
30	0.6949297191
31	0.693039115
32	0.6923328643
33	0.6922270497
34	0.69216933
35	0.6920518328
36	0.6917970701
37	0.6915650872
38	0.6913917596
39	0.691251908
40	0.6905929739
41	0.6903943778
42	0.6901745089
43	0.6898821168
44	0.6897636782
45	0.6896862554
46	0.6896115742
47	0.6843214686
48	0.6842199554
49	0.6841041273
50	0.6839927658
51	0.6837163307
52	0.6833853255
53	0.6776972279
54	0.6775731482
55	0.6774926038
56	0.677431566
57	0.6773933541
58	0.6773699866
59	0.6741186608
60	0.6740576637
61	0.6740254758
62	0.6735843013
63	0.6729021981
64	0.6721746267
65	0.6667802268
66	0.6658765973
67	0.665721683
68	0.6656113582
69	0.665469234
70	0.6649443596
71	0.6636693773
72	0.6632891369
73	0.6617350595
74	0.6605133066
75	0.658696801
76	0.6581536601
77	0.656995495
78	0.6559777406
79	0.6547663197
80	0.6511031563
81	0.6509435515
82	0.6508092542
83	0.6507232915
84	0.6449698593
85	0.6406124654
86	0.6373277025
87	0.6352189153
88	0.6347156259
89	0.6330857377
90	0.6329774853
91	0.6326663242
92	0.6324164432
93	0.6316871555
94	0.6316065063
95	0.631459926
96	0.6313276472
97	0.6266874983
98	0.626459892
99	0.6225893599
