iter	MAPE
0	0.9743438122
1	0.9497081567
2	0.9264053815
3	0.9048742788
4	0.8851089254
5	0.8687437618
6	0.8528895083
7	0.8412108408
8	0.8253292637
9	0.812069338
10	0.7997356394
11	0.7872686477
12	0.775779036
13	0.7657837865
14	0.7564318668
15	0.7486141721
16	0.7407044909
17	0.731834476
18	0.7281632256
19	0.7237289543
20	0.716249253
21	0.710354202
22	0.7063839884
23	0.7017687694
24	0.7001912242
25	0.6961126828
26	0.6911862566
27	0.6903545954
28	0.6901688404
29	0.6900742484
30	0.6842955647
31	0.6788177254
32	0.6785704813
33	0.678408244
34	0.6779796178
35	0.6775264427
36	0.6732237671
37	0.6704398702
38	0.667542187
39	0.6630845302
40	0.6605637436
41	0.6589026301
42	0.6570067816
43	0.6564179337
44	0.6546112962
45	0.652137994
46	0.6480726407
47	0.6473327457
48	0.645841862
49	0.641552225
